iter	Logloss
0	0.6886175727
1	0.6840803688
2	0.6790329751
3	0.674174268
4	0.6687737253
5	0.6644940209
6	0.660466235
7	0.6561196175
8	0.6522619938
9	0.6481729945
10	0.6439914926
11	0.6402312401
12	0.6359970152
13	0.6326633557
14	0.6291789489
15	0.6256948983
16	0.6225914269
17	0.6185398918
18	0.615145494
19	0.6121587494
20	0.6090128264
21	0.605897421
22	0.6032482103
23	0.6002532128
24	0.5972675368
25	0.5943627858
26	0.5917530579
27	0.588997095
28	0.5863890295
29	0.5840384042
30	0.5817356926
31	0.5791218086
32	0.5761564975
33	0.5739211146
34	0.5716759945
35	0.569243791
36	0.566402747
37	0.5644099017
38	0.5620957905
39	0.5599701284
40	0.5576461614
41	0.5556309919
42	0.5537109375
43	0.5516026716
44	0.5494192398
45	0.5474394564
46	0.5453560677
47	0.5438051929
48	0.5419604825
49	0.540189038
50	0.5377950112
51	0.5361157132
52	0.5342986704
53	0.5328065152
54	0.5314275838
55	0.5299815612
56	0.5284210086
57	0.5267402857
58	0.5252944412
59	0.5238549496
60	0.5223586977
61	0.5208531836
62	0.5195635488
63	0.5183100125
64	0.5171526601
65	0.515218475
66	0.5139846505
67	0.512798621
68	0.5115635497
69	0.5105288613
70	0.5090314813
71	0.5079147398
72	0.5064801762
73	0.5055200599
74	0.5043986873
75	0.5035333893
76	0.502259607
77	0.5006223449
78	0.4992932271
79	0.4982452986
80	0.4972756827
81	0.4958222386
82	0.4945684054
83	0.4937264409
84	0.4929386243
85	0.4919525028
86	0.4904773875
87	0.4895528059
88	0.488617923
89	0.4878012512
90	0.4870386087
91	0.4859500395
92	0.4849279678
93	0.4840023768
94	0.4832009935
95	0.48241288
96	0.4816477735
97	0.4807573311
98	0.4798754384
99	0.47885779
100	0.4778643063
101	0.47706699
102	0.4763757134
103	0.4756681093
104	0.4744873641
105	0.4737245137
106	0.4731020798
107	0.4725707236
108	0.47202871
109	0.4711228308
110	0.4704370758
111	0.4694747034
112	0.4688328843
113	0.4682676857
114	0.4676415707
115	0.467045528
116	0.4663933186
117	0.4657661349
118	0.4651654611
119	0.4645679043
120	0.4638030056
121	0.4630309227
122	0.4621715026
123	0.461642937
124	0.4608191702
125	0.460044653
126	0.4592928163
127	0.4584768273
128	0.4580500265
129	0.457310569
130	0.4567628853
131	0.4562486582
132	0.4555307826
133	0.4544078664
134	0.4536847957
135	0.4530693974
136	0.4524811029
137	0.4519704381
138	0.4514046754
139	0.4509189769
140	0.4504145166
141	0.4497247837
142	0.4490181296
143	0.4484563449
144	0.4480972587
145	0.447633914
146	0.4470252249
147	0.4466673261
148	0.4462026158
149	0.4457395086
150	0.4452412824
151	0.4449353051
152	0.4443726892
153	0.4439616519
154	0.4434223991
155	0.4429141983
156	0.442448924
157	0.4418101626
158	0.4412944512
159	0.4409435584
160	0.4406065588
161	0.4401863187
162	0.4397349673
163	0.4394664245
164	0.4389562941
165	0.4380858009
166	0.4376106708
167	0.4372224028
168	0.4366634087
169	0.4360830997
170	0.4354978925
171	0.4351142854
172	0.4346495454
173	0.4343601331
174	0.4340275271
175	0.4337661387
176	0.433529479
177	0.4330903881
178	0.4326386804
179	0.4321410183
180	0.4312996178
181	0.430812613
182	0.4303359095
183	0.4298079969
184	0.4295017228
185	0.4289198701
186	0.4285324037
187	0.4280928675
188	0.4276558249
189	0.4271312075
190	0.4268360657
191	0.4264437308
192	0.4259786346
193	0.4257667037
194	0.4254363242
195	0.4250698758
196	0.42454321
197	0.4240273798
198	0.4236506896
199	0.4233257427
